Model,Threshold,F1,F1_CI,Precision,Recall,FAR,Mean_Lead_Hours,Median_Lead_Hours,Trigger_Rate
CFRI,0.9500000000000006,0.26370370370370366,"(0.242, 0.286)",0.2267515923566879,0.31504424778761064,0.7732484076433122,61.28,72.0,0.625
WL_only,0.9,0.07024574223584183,"(0.065, 0.076)",0.037678594006827666,0.5178105994787141,0.9623214059931723,67.35,72.0,1.0
Q_only,0.9,0.10859939408063388,"(0.101, 0.116)",0.05952482329898663,0.6185840707964602,0.9404751767010133,66.76,72.0,0.625
