event_id,start_time,end_time,duration_hours,peak_time,peak_wl,peak_exceedance,pre_event_wl,peak_q,q_peak_time
31,2020-06-06 03:00:00+00:00,2020-06-06 03:00:00+00:00,1.0,2020-06-06 03:00:00+00:00,0.575,0.014999999999999902,-0.371,721.37048,2020-06-04 03:00:00+00:00
32,2020-08-04 03:00:00+00:00,2020-08-04 06:00:00+00:00,4.0,2020-08-04 05:00:00+00:00,1.325,0.7649999999999999,-0.3815,121.05432,2020-08-02 03:00:00+00:00
33,2020-09-18 03:00:00+00:00,2020-09-18 03:00:00+00:00,1.0,2020-09-18 03:00:00+00:00,0.573,0.0129999999999999,-0.21000000000000002,60.456368,2020-09-18 03:00:00+00:00
34,2020-11-15 14:00:00+00:00,2020-11-15 15:00:00+00:00,2.0,2020-11-15 15:00:00+00:00,0.678,0.118,-0.21200000000000002,757.4744,2020-11-15 15:00:00+00:00
35,2020-12-16 17:00:00+00:00,2020-12-16 17:00:00+00:00,1.0,2020-12-16 17:00:00+00:00,0.567,0.006999999999999895,-0.5960000000000001,210.110656,2020-12-16 17:00:00+00:00
36,2022-01-03 14:00:00+00:00,2022-01-03 16:00:00+00:00,3.0,2022-01-03 15:00:00+00:00,0.723,0.16299999999999992,-0.41000000000000003,86.932576,2022-01-03 16:00:00+00:00
37,2022-01-05 17:00:00+00:00,2022-01-05 17:00:00+00:00,1.0,2022-01-05 17:00:00+00:00,0.566,0.005999999999999894,-0.4415,377.32136,2022-01-05 17:00:00+00:00
38,2022-09-30 18:00:00+00:00,2022-09-30 22:00:00+00:00,5.0,2022-09-30 20:00:00+00:00,0.907,0.347,-0.46699999999999997,33.059864,2022-09-30 21:00:00+00:00
39,2022-12-22 14:00:00+00:00,2022-12-22 14:00:00+00:00,1.0,2022-12-22 14:00:00+00:00,0.577,0.016999999999999904,-0.5045,217.473024,2022-12-20 14:00:00+00:00
40,2023-08-31 02:00:00+00:00,2023-08-31 03:00:00+00:00,2.0,2023-08-31 02:00:00+00:00,0.61,0.04999999999999993,-0.36850000000000005,106.754336,2023-08-31 03:00:00+00:00
41,2023-12-17 19:00:00+00:00,2023-12-17 21:00:00+00:00,3.0,2023-12-17 21:00:00+00:00,0.715,0.15499999999999992,-0.493,77.446448,2023-12-15 19:00:00+00:00
42,2024-08-18 01:00:00+00:00,2024-08-18 01:00:00+00:00,1.0,2024-08-18 01:00:00+00:00,0.582,0.02199999999999991,-0.304,668.9843999999999,2024-08-16 01:00:00+00:00
43,2024-08-19 01:00:00+00:00,2024-08-19 02:00:00+00:00,2.0,2024-08-19 02:00:00+00:00,0.649,0.08899999999999997,-0.2285,539.43504,2024-08-17 01:00:00+00:00
44,2024-09-17 00:00:00+00:00,2024-09-17 02:00:00+00:00,3.0,2024-09-17 01:00:00+00:00,0.713,0.1529999999999999,-0.175,270.354648,2024-09-17 02:00:00+00:00
45,2024-09-18 02:00:00+00:00,2024-09-18 02:00:00+00:00,1.0,2024-09-18 02:00:00+00:00,0.636,0.07599999999999996,-0.1245,420.50448,2024-09-18 02:00:00+00:00
46,2024-09-19 03:00:00+00:00,2024-09-19 03:00:00+00:00,1.0,2024-09-19 03:00:00+00:00,0.622,0.061999999999999944,-0.0775,515.36576,2024-09-19 03:00:00+00:00
47,2024-09-19 15:00:00+00:00,2024-09-21 04:00:00+00:00,38.0,2024-09-20 16:00:00+00:00,0.728,0.08799999999999997,-0.0775,550.05384,2024-09-19 16:00:00+00:00
48,2024-09-21 16:00:00+00:00,2024-09-21 18:00:00+00:00,3.0,2024-09-21 17:00:00+00:00,0.704,0.1439999999999999,-0.039999999999999994,607.39536,2024-09-21 17:00:00+00:00
49,2024-09-22 17:00:00+00:00,2024-09-22 19:00:00+00:00,3.0,2024-09-22 18:00:00+00:00,0.714,0.15399999999999991,-0.0475,607.39536,2024-09-21 17:00:00+00:00
50,2024-09-23 18:00:00+00:00,2024-09-23 19:00:00+00:00,2.0,2024-09-23 19:00:00+00:00,0.655,0.09499999999999997,-0.088,607.39536,2024-09-21 22:00:00+00:00
51,2024-09-24 19:00:00+00:00,2024-09-24 20:00:00+00:00,2.0,2024-09-24 20:00:00+00:00,0.602,0.041999999999999926,-0.092,586.86568,2024-09-22 19:00:00+00:00
52,2024-11-16 15:00:00+00:00,2024-11-16 15:00:00+00:00,1.0,2024-11-16 15:00:00+00:00,0.612,0.051999999999999935,-0.2915,65.12864,2024-11-16 15:00:00+00:00
